Replicate,Duration,Date,Dorm,Rail,total.source.aphids,ratio,PEMV titer,Btubulin titer,PEMV ct,PEMV,Source Species,Weevil,Ladybird,Source weevil damage,aphid.total.in.row,Plant Number,Total Aphids,Total Maternal Aphids,Height,Height Count,Top Maternal,Top Nymph,Top Total,Middle Maternal,Middle Nymph,Middle Total,Bottom Maternal,Bottom Nymph,Bottom Total,Weevil Herbivory
2,7,8.23.2017,36,B,90,0.391891892,19.65,24.76666667,5.116666667,Present,Pea,Absent,Absent,No,58,5,2,0,Top,1,0,1,1,0,1,1,0,0,0,No
2,7,8.23.2017,37,A,38,0.283018868,21.04666667,28.58666667,7.54,Present,Pea,Present,Present,No,15,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,Yes
2,7,8.23.2017,37,B,38,0.40625,17.77333333,24.49666667,6.723333333,Present,Pea,Present,Present,No,26,5,12,1,Top,10,1,9,10,0,0,0,0,2,2,Yes
2,7,8.23.2017,38,A,47,0.12962963,,,,Absent,Pea,Absent,Present,No,7,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
2,7,8.23.2017,38,B,47,0.356164384,26.25333333,29.53,3.276666667,Absent,Pea,Absent,Present,No,26,5,1,0,Top,0,0,0,0,0,0,0,0,1,1,No
2,7,8.23.2017,39,A,117,0.064,24.61333333,24.56666667,-0.046666667,Present,Pea,Present,Absent,No,8,5,6,0,Top,4,0,4,4,0,0,0,0,2,2,Yes
2,7,8.23.2017,39,B,117,0.064,25.61666667,26.14,0.523333333,Absent,Pea,Present,Absent,No,8,5,7,0,Top,0,0,0,0,0,2,2,0,5,5,Yes
2,7,8.23.2017,40,A,100,0.386503067,25.25333333,29.70666667,4.453333333,Absent,Pea,Absent,Absent,No,63,5,13,1,Top,2,0,2,2,0,0,0,1,10,11,No
2,7,8.23.2017,40,B,100,0.371069182,18.65,24.73,6.08,Present,Pea,Absent,Absent,No,59,5,25,0,Top,6,0,6,6,0,4,4,0,15,15,No
2,7,8.23.2017,41,A,53,0.535087719,17.9,24.81333333,6.913333333,Present,Pea,Present,Present,No,61,5,10,2,Top,1,0,1,1,2,0,2,0,7,7,Yes
2,7,8.23.2017,41,B,53,0.662420382,19.976,26.743,6.767,Present,Pea,Present,Present,No,104,5,4,1,Top,1,1,0,1,0,1,1,0,2,2,Yes
2,7,8.23.2017,42,A,3,0.5,31.29,32,0.71,Absent,Pea,Absent,Present,No,3,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
2,7,8.23.2017,42,B,3,0.823529412,21.82,25.1067,3.2867,Present,Pea,Absent,Present,No,14,5,8,0,Top,2,0,2,2,0,4,4,0,2,2,No
2,7,8.23.2017,43,A,63,0.5078125,22.07,27.5833,5.5133,Present,Pea,Present,Absent,No,65,5,6,1,Top,1,0,1,1,1,2,3,0,1,1,No
2,7,8.23.2017,43,B,63,0.461538462,20.7367,28.1467,7.41,Present,Pea,Present,Absent,No,54,5,24,2,Top,13,1,12,13,1,10,11,0,0,0,No
2,7,8.23.2017,44,A,207,0.151639344,25.34,30.58,5.24,Absent,Pea,Absent,Absent,No,37,5,12,2,Top,5,1,4,5,1,6,7,0,0,0,No
2,7,8.23.2017,44,B,207,0.054794521,24.863,31.05667,6.19367,Absent,Pea,Absent,Absent,No,12,5,2,1,Top,0,0,0,0,0,0,0,1,1,2,No
2,7,8.23.2017,45,A,7,0.461538462,20.72,27.8033,7.0833,Present,Pea,Present,Present,Yes,6,5,0,0,Top,0,0,0,0,0,0,0,0,0,0,No
