Blank,Drop for 1x2,Drop for 2x3,Aphid Type,Weevil Timing,Aphid Timing,Treatment,BioSample,TechSample,Chitenase,OPR1,PR1,PsOX 11,GA,AOX 3,ACS2,LOX 2,ICS1,defensin,UBQ,ChlAbBp,lectin
,Yes,No,Infective,First,Aphids Second,W+A+,1,2,2.984609272,4.328858314,5.301690725,8.964528782,5.191040457,3.200824363,3.695350113,1.584883218,1.659112685,3.407917834,0.754279625,6.320894969,1.595953572
,Yes,No,Infective,First,Aphids Second,W+A+,1,3,3.772717616,3.574714181,4.618940752,8.79054884,5.093306705,2.934655846,3.991323959,1.704104533,1.635545681,4.44625231,0.18520579,6.651526174,1.444154339
,Yes,No,Infective,First,Aphids Second,W+A+,2,1,4.990577212,3.998227109,3.301961109,6.443552486,3.146949422,1.135938912,5.853117286,1.381097947,0.251330762,5.135240608,0.942815658,7.343980207,1.78310331
,Yes,No,Infective,First,Aphids Second,W+A+,2,2,5.474393944,5.010221992,3.50574638,6.69100603,2.778888269,0.991764299,6.650236543,1.433083985,0.019126456,5.104048984,0.146389547,7.733528923,3.159000464
,Yes,No,Infective,First,Aphids Second,W+A+,2,3,4.757679759,4.373219733,2.789032196,6.604362632,2.437859856,0.866997806,6.083935297,1.664595143,-0.346855255,4.789360165,0.298881927,7.919985515,2.773610631
,Yes,No,Infective,First,Aphids Second,W+A+,3,1,2.741314611,5.015074022,3.663783938,0.905306514,2.440632445,1.09227064,1.460643602,0.94510837,-0.278233684,5.126922841,0.690510084,7.64827182,2.736180684
,Yes,No,Infective,First,Aphids Second,W+A+,3,2,3.236914845,5.2909466,3.703293327,2.738680806,2.509947163,1.176834596,0.712737795,0.845295176,-0.023155522,5.158114465,-0.675683009,7.760561663,2.628049723
,Yes,No,Infective,First,Aphids Second,W+A+,3,3,3.065014345,5.295798631,3.237498421,2.19456027,2.51549234,0.801148824,1.74899283,0.966595933,0.042000313,6.1326794,0.124208838,6.997406617,1.758150012
,Yes,No,Infective,First,Aphids Second,W+A+,4,1,1.637131153,4.398866179,3.695668708,2.407356454,3.062385466,2.138229736,1.140409605,NA,0.584041408,3.525752854,0.478407047,7.128411434,2.268306337
,Yes,No,Infective,First,Aphids Second,W+A+,4,2,1.791009827,4.517394347,3.429500191,1.838975766,3.63908392,1.710557925,1.414895888,NA,0.464820093,3.766968073,0.849933936,7.200498741,3.00997382
,Yes,No,Infective,First,Aphids Second,W+A+,4,3,NA,NA,3.816276317,NA,4.00783822,2.313595972,NA,NA,1.173909659,3.63734955,1.534070203,7.474291877,3.50903979
,Yes,No,Sham,None,Aphids Second,W-A-,1,1,-0.22812791,-0.977183354,0.208445242,0.174729385,0.528239374,0.629248323,-0.05804187,1.3187147,0.550077197,-0.534010182,-0.342972362,6.862936064,0.043997034
,Yes,No,Sham,None,Aphids Second,W-A-,1,2,0.157261922,-0.591793521,-0.416773514,-0.08935969,0.232958675,0.687472687,0.275361924,1.160677143,0.679002572,1.419278573,0.279473806,7.41953325,0.638717315
,Yes,No,Sham,None,Aphids Second,W-A-,1,3,-0.092271063,-1.032635128,-1.407973983,0.384752981,-0.012415427,0.234154431,-0.085767757,1.340202263,0.152903862,0.943779607,0.429193597,6.668854854,0.353833824
,Yes,No,Sham,None,Aphids Second,W-A-,2,1,-0.107520301,0.854804645,-0.253883927,-0.291758667,0.01531046,-0.086772714,-0.123197705,0.298402051,-0.106333183,0.294300699,-0.163447242,7.400818276,0.464737373
,Yes,No,Sham,None,Aphids Second,W-A-,2,2,0.094878676,-0.340874242,0.137051083,0.576061603,0.566362469,0.012347333,-0.180035774,-0.391972541,0.042000313,-0.683036826,-0.324950535,6.79500764,0.095289926
,Yes,No,Sham,None,Aphids Second,W-A-,2,3,0.051210403,1.136915547,-0.107629872,-0.209274153,0.101953858,-0.133906722,-0.185580951,0.341377176,0.062101581,-0.167335324,0.955985454,6.943341137,0.328880525
,Yes,No,Sham,None,Aphids Second,W-A-,3,1,0.203009636,1.15840311,0.799699787,-0.60090231,-0.196792577,-0.470083105,0.23931827,-1.68053315,-0.401613882,-0.075146749,-0.611913468,6.959976669,-0.338620209
,Yes,No,Sham,None,Aphids Second,W-A-,3,2,-0.093657357,1.568746241,0.989622115,-0.575255864,0.562203586,0.26881179,0.160992639,-0.547930657,0.179936602,-0.235956895,-0.411593933,7.05077895,-0.620037965
,Yes,No,Sham,None,Aphids Second,W-A-,3,3,0.414419526,0.750832568,0.409457925,-0.255715014,0.425653591,0.274356967,0.051475384,NA,0.154983304,0.229838011,0.123515691,6.876799008,-0.872343538
,Yes,No,Sham,None,Aphids Second,W-A-,4,1,-0.517863432,-1.112347054,-0.034849418,0.57675475,-0.262641559,-0.061819416,0.248329184,0.015598001,-0.132672776,0.285982932,0.147775842,6.621720845,-0.274850669
,Yes,No,Sham,None,Aphids Second,W-A-,4,2,0.252223086,-0.5723854,0.014364032,0.014612387,-1.075703202,-0.641983606,-0.311040591,-1.049076068,-0.608864889,-1.283995432,0.227487768,6.486557145,0.111232311
,Yes,No,Sham,None,Aphids Second,W-A-,4,3,NA,NA,-0.337754736,NA,-0.883701433,-0.711991471,NA,0.308106111,-0.571434942,-0.193674917,0.38413903,6.501113236,0.070336627
,Yes,Yes,Infective,None,Aphids Second,W-A+,1,1,4.519930277,2.08514089,3.059359596,2.832948823,2.919597147,1.258625963,1.508470758,0.669235792,0.367779488,4.647264993,0.71615653,7.399431982,2.336927908
,Yes,Yes,Infective,None,Aphids Second,W-A+,1,2,4.090179025,2.091379215,2.874289299,2.814926996,2.925835471,1.262784847,1.182691583,1.297920285,0.476603595,3.012130794,1.362169702,6.86154977,2.85748144
,Yes,Yes,Infective,None,Aphids Second,W-A+,1,3,4.212866076,1.787087603,3.313744611,2.620845786,3.046443081,1.323781798,1.587489536,1.054625625,0.531362223,3.828658172,0.555346384,6.817881497,2.555269269
,Yes,Yes,Infective,None,Aphids Second,W-A+,2,1,3.177304188,1.43358254,2.087567249,1.423780605,3.03188699,1.34804195,1.954857542,0.851533501,0.703955871,4.506556115,0.164411374,6.985623115,1.2202678
,Yes,Yes,Infective,None,Aphids Second,W-A+,2,2,2.344141277,0.399406947,2.983806553,0.946202197,3.97595345,2.102186082,-0.489179417,0.843908882,1.11707159,4.310395463,1.529218173,6.792235052,1.584170069
,Yes,Yes,Infective,None,Aphids Second,W-A+,2,3,2.623479591,1.160482551,2.803588286,0.816583675,3.889310052,1.967715529,0.08197386,1.067102274,1.151728949,5.275256338,1.56664812,6.94264799,1.304831756
,Yes,Yes,Infective,None,Aphids Second,W-A+,3,1,4.175436128,4.026646143,3.3165172,6.480982434,4.741881084,2.876431483,4.869541436,1.146121052,2.257298702,5.687678911,0.488804255,7.384182744,1.609816515
,Yes,Yes,Infective,None,Aphids Second,W-A+,3,2,4.479034593,4.064076091,3.032326856,6.984900434,4.217861816,2.195067804,5.569620089,1.042842122,1.630000504,3.924312483,0.691896379,7.250405338,2.217013445
,Yes,Yes,Infective,None,Aphids Second,W-A+,3,3,3.896097814,3.644028899,1.739607364,6.37146518,3.790883153,1.38477875,5.503077959,1.69994565,0.705342165,5.745903274,1.251266153,7.102764989,1.498912966
,Yes,Yes,Infective,None,Aphids Second,W-A+,4,1,NA,0.547047296,4.436643044,0.974621232,3.592643059,2.421726932,-1.386805015,1.55715733,1.390171579,4.724897477,1.134817427,7.610841872,2.705682208
,Yes,Yes,Infective,None,Aphids Second,W-A+,4,2,NA,3.009799229,4.1891895,1.402293042,3.040204756,2.349639626,-0.959133205,2.411807804,1.361059398,4.159982525,1.311569958,7.784128667,3.155534728
,Yes,Yes,Infective,None,Aphids Second,W-A+,4,3,NA,NA,3.807958551,NA,4.15547857,2.407863989,NA,0.443269811,1.458100003,2.871421916,-0.900262695,5.850941181,1.412962716
